# "id",  "32-bit words", "Varint", "Varint [diff]", "VarBits", "VarBits [diff]", "Minimum number of bits [diff]", "Varnibble", "Varnibble [diff]", "Subsets (first match, varint)", "Subsets (first match, varnibble)", "best: Subsets (first match) or varint", "best: Subsets (first match) or varnibble"
276, 3208, 1598, 819, 1506, 638, 806, 1814, 638, 778, 756, 778, 638
277, 116, 58, 41, 57, 38, 44, 62, 38, 45, 44, 41, 38
278, 32, 16, 15, 17, 15, 15, 19, 14, 15, 17, 15, 14
279, 20844, 10391, 5213, 9773, 2363, 4564, 12329, 2793, 2252, 2296, 2252, 2296
280, 8720, 4345, 2183, 4090, 1311, 1912, 5117, 1384, 1634, 1589, 1634, 1384
281, 28, 14, 12, 15, 13, 15, 15, 13, 14, 14, 12, 13
282, 196, 98, 66, 94, 61, 71, 110, 62, 71, 69, 66, 62
283, 116, 58, 39, 57, 35, 47, 62, 36, 42, 41, 39, 36
284, 56, 28, 20, 28, 18, 23, 30, 18, 22, 19, 20, 18
285, 152, 73, 46, 71, 36, 61, 77, 35, 40, 40, 40, 35
286, 60, 30, 24, 30, 23, 26, 33, 23, 24, 26, 24, 23
287, 136, 63, 51, 64, 46, 51, 71, 45, 53, 51, 51, 45
288, 7792, 3878, 1952, 3655, 1189, 1709, 4611, 1273, 1444, 1400, 1444, 1273
289, 28, 14, 13, 15, 13, 13, 18, 13, 13, 13, 13, 13
290, 36, 18, 15, 19, 14, 16, 19, 15, 15, 16, 15, 15
291, 668, 334, 206, 315, 180, 213, 399, 179, 228, 204, 206, 179
292, 168, 84, 56, 81, 44, 62, 90, 43, 49, 49, 49, 43
293, 144, 72, 49, 70, 39, 58, 76, 39, 46, 44, 46, 39
294, 6408, 3190, 1606, 3006, 1054, 1406, 3752, 1088, 1321, 1270, 1321, 1088
295, 320, 158, 114, 152, 105, 104, 189, 105, 129, 118, 114, 105
296, 4556, 2277, 1147, 2138, 819, 1001, 2670, 835, 1046, 999, 1046, 835
297, 100, 50, 40, 49, 36, 35, 62, 36, 41, 41, 40, 36
298, 41760, 20769, 10440, 19577, 3340, 7835, 24359, 5272, 2414, 2567, 2414, 2567
299, 28, 14, 14, 15, 14, 14, 17, 15, 14, 15, 14, 15
300, 80, 40, 35, 40, 32, 32, 47, 31, 35, 38, 35, 31
301, 168, 83, 65, 81, 58, 62, 101, 58, 68, 65, 65, 58
302, 33032, 16453, 8258, 15486, 3027, 6198, 19434, 4222, 2419, 2551, 2419, 2551
303, 24, 12, 9, 13, 10, 12, 15, 9, 9, 11, 9, 9
304, 116, 58, 43, 57, 42, 44, 72, 41, 47, 48, 43, 41
305, 600, 300, 160, 283, 81, 229, 347, 94, 70, 69, 70, 69
306, 88, 44, 29, 43, 26, 34, 55, 26, 31, 30, 29, 26
307, 20, 10, 10, 12, 11, 10, 13, 11, 11, 11, 10, 11
308, 84, 42, 36, 42, 32, 33, 50, 32, 37, 37, 36, 32
309, 940, 467, 275, 443, 246, 269, 563, 245, 300, 287, 275, 245
310, 20, 10, 9, 12, 11, 11, 12, 10, 9, 11, 9, 10
311, 72, 36, 22, 36, 21, 29, 45, 21, 23, 25, 22, 21
312, 552, 276, 148, 261, 112, 194, 345, 111, 140, 130, 140, 111
313, 572, 286, 161, 270, 126, 201, 356, 126, 143, 138, 143, 126
314, 412, 206, 122, 195, 101, 146, 256, 100, 116, 113, 116, 100
315, 412, 206, 123, 195, 90, 146, 256, 89, 97, 97, 97, 89
316, 284, 142, 91, 135, 73, 102, 176, 72, 89, 86, 89, 72
317, 116, 58, 37, 57, 33, 44, 73, 33, 37, 38, 37, 33
318, 132, 66, 41, 64, 36, 49, 83, 35, 40, 42, 40, 35
319, 168, 84, 51, 81, 40, 62, 105, 39, 47, 46, 47, 39
320, 112, 56, 35, 55, 29, 43, 70, 29, 33, 33, 33, 29
321, 52, 26, 23, 27, 21, 22, 33, 22, 24, 25, 23, 22
322, 208, 103, 77, 100, 73, 76, 126, 74, 91, 82, 77, 74
323, 300, 148, 106, 143, 96, 107, 179, 97, 121, 109, 106, 97
324, 20, 10, 9, 12, 9, 9, 13, 8, 10, 9, 9, 8
325, 24, 12, 10, 13, 10, 10, 15, 9, 12, 11, 10, 9
326, 6112, 3047, 1539, 2867, 973, 1532, 3628, 1010, 1198, 1163, 1198, 1010
327, 532, 266, 142, 252, 76, 203, 332, 85, 67, 67, 67, 67
328, 40, 20, 13, 21, 11, 20, 25, 11, 12, 12, 12, 11
329, 4316, 2155, 1089, 2025, 778, 1083, 2509, 782, 956, 921, 956, 782
330, 20, 10, 10, 12, 11, 11, 13, 10, 10, 11, 10, 10
